Partition	Size	Members
0_0	3	transcript/660,transcript/840,transcript/1228
10000_0	2	transcript/64446,transcript/56911
1000_0	5	transcript/3726,transcript/7106,transcript/5785,transcript/4652,transcript/5645
10001_0	2	transcript/57771,transcript/58534
10002_0	7	transcript/62506,transcript/60472,transcript/57487,transcript/58034,transcript/65892,transcript/55984,transcript/66767
10003_0	4	transcript/60302,transcript/63504,transcript/57585,transcript/59246
10004_0	2	transcript/57797,transcript/60195
10004_2	1	transcript/60763
10005_0	2	transcript/59340,transcript/57815
10006_0	9	transcript/62311,transcript/59659,transcript/66215,transcript/60936,transcript/58625,transcript/57958,transcript/62575,transcript/65032,transcript/61835
10007_0	6	transcript/60771,transcript/58118,transcript/65987,transcript/57558,transcript/63777,transcript/59493
10008_0	5	transcript/57018,transcript/59268,transcript/62585,transcript/66185,transcript/63362
10009_0	5	transcript/57982,transcript/59783,transcript/60704,transcript/58364,transcript/60018
100_0	3	transcript/1023,transcript/883,transcript/1134
10010_0	7	transcript/61612,transcript/63049,transcript/57993,transcript/64376,transcript/64708,transcript/64106,transcript/60978
1001_0	6	transcript/4341,transcript/12777,transcript/4026,transcript/3720,transcript/4396,transcript/4007
1001_3	7	transcript/5208,transcript/6088,transcript/3801,transcript/8218,transcript/4840,transcript/4416,transcript/5616
10011_0	2	transcript/65934,transcript/57956
10012_0	5	transcript/63715,transcript/61776,transcript/59860,transcript/58031,transcript/57516
10013_0	5	transcript/60669,transcript/61076,transcript/58045,transcript/59050,transcript/61643
10015_0	3	transcript/57611,transcript/61617,transcript/58650
10016_0	2	transcript/58587,transcript/57952
10016_2	1	transcript/8069
10017_0	2	transcript/59728,transcript/58278
10018_0	2	transcript/57937,transcript/58658
10019_0	7	transcript/64451,transcript/57806,transcript/58071,transcript/59921,transcript/59120,transcript/62002,transcript/66800
10020_0	3	transcript/58669,transcript/62600,transcript/58074
10021_0	2	transcript/59012,transcript/58106
10022_0	2	transcript/61194,transcript/57796
10023_0	5	transcript/63248,transcript/58495,transcript/60843,transcript/57401,transcript/60204
10024_0	2	transcript/58678,transcript/59675
10024_1	2	transcript/62282,transcript/60601
10025_0	8	transcript/60791,transcript/58988,transcript/61059,transcript/58172,transcript/60147,transcript/61680,transcript/59691,transcript/59962
10026_0	3	transcript/58082,transcript/59332,transcript/61555
10027_0	7	transcript/65668,transcript/62609,transcript/57437,transcript/59999,transcript/60625,transcript/57152,transcript/60412
10028_0	6	transcript/62623,transcript/58061,transcript/66571,transcript/65883,transcript/59250,transcript/59684
10029_0	5	transcript/58954,transcript/65760,transcript/58320,transcript/59899,transcript/60547
1003_0	4	transcript/6211,transcript/5978,transcript/8088,transcript/3402
10031_0	4	transcript/56196,transcript/62704,transcript/60641,transcript/64792
10032_0	2	transcript/65659,transcript/58013
10033_0	5	transcript/59966,transcript/60481,transcript/56941,transcript/59314,transcript/65021
10034_1	3	transcript/62684,transcript/58350,transcript/57866
10035_0	2	transcript/61560,transcript/57826
10036_0	6	transcript/58316,transcript/59173,transcript/65558,transcript/60694,transcript/58807,transcript/66849
10037_0	2	transcript/59467,transcript/57655
10038_0	7	transcript/58136,transcript/59193,transcript/62197,transcript/60226,transcript/59587,transcript/62348,transcript/58759
10038_1	8	transcript/62145,transcript/62287,transcript/66573,transcript/58287,transcript/57735,transcript/60759,transcript/64042,transcript/59273
